"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"ahrq.gov","ahrq.gov","https://www.ahrq.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ahrqivedhcupnet.ahrq.gov","ahrq.gov","https://ahrqivedhcupnet.ahrq.gov","Department of Health and Human Services","dap","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ahrqpubs.ahrq.gov","ahrq.gov","https://ahrqpubs.ahrq.gov","Department of Health and Human Services","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"api.daa.ahrq.gov","ahrq.gov","https://api.daa.ahrq.gov","Department of Health and Human Services","censys-snapshot, dap","Yes","Yes","Yes","Yes","No","No","No","No","No"
"archive.ahrq.gov","ahrq.gov","https://archive.ahrq.gov","Department of Health and Human Services","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"arrs.ahrq.gov","ahrq.gov","https://arrs.ahrq.gov","Department of Health and Human Services","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"arrstest.ahrq.gov","ahrq.gov","https://arrstest.ahrq.gov","Department of Health and Human Services","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"autodiscover.ahrq.gov","ahrq.gov","https://autodiscover.ahrq.gov","Department of Health and Human Services","censys-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"cahps.ahrq.gov","ahrq.gov","http://cahps.ahrq.gov","Department of Health and Human Services","eot2016","No","No","No","","","","","","No"
"cahpsdatabase.ahrq.gov","ahrq.gov","https://cahpsdatabase.ahrq.gov","Department of Health and Human Services","rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"cdn-stage.ahrq.gov","ahrq.gov","https://cdn-stage.ahrq.gov","Department of Health and Human Services","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cds.ahrq.gov","ahrq.gov","https://cds.ahrq.gov","Department of Health and Human Services","dap","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"ce.ahrq.gov","ahrq.gov","http://ce.ahrq.gov","Department of Health and Human Services","rdns-snapshot, eot2016","No","No","No","","","","","","No"
"ce.effectivehealthcare.ahrq.gov","ahrq.gov","https://ce.effectivehealthcare.ahrq.gov","Department of Health and Human Services","eot2016","No","Yes","No","Yes","No","No","No","No","No"
"chiprapqm.ahrq.gov","ahrq.gov","https://chiprapqm.ahrq.gov","Department of Health and Human Services","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cma.ahrq.gov","ahrq.gov","https://cma.ahrq.gov","Department of Health and Human Services","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"cmatest.ahrq.gov","ahrq.gov","https://cmatest.ahrq.gov","Department of Health and Human Services","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"cpsi.ahrq.gov","ahrq.gov","http://cpsi.ahrq.gov","Department of Health and Human Services","eot2016","No","No","No","","","","","","No"
"daa.ahrq.gov","ahrq.gov","http://daa.ahrq.gov","Department of Health and Human Services","dap, eot2016","No","No","No","Yes","No","No","No","No","No"
"dam.ahrq.gov","ahrq.gov","https://dam.ahrq.gov","Department of Health and Human Services","censys-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"digital.ahrq.gov","ahrq.gov","https://digital.ahrq.gov","Department of Health and Human Services","dap","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"distributor.hcup-us.ahrq.gov","ahrq.gov","https://www.distributor.hcup-us.ahrq.gov","Department of Health and Human Services","eot2016","No","Yes","Yes","No","Yes","No","No","No","No"
"docs.ahrq.gov","ahrq.gov","https://docs.ahrq.gov","Department of Health and Human Services","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"docstest.ahrq.gov","ahrq.gov","https://docstest.ahrq.gov","Department of Health and Human Services","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"effectivehealthcare.ahrq.gov","ahrq.gov","https://effectivehealthcare.ahrq.gov","Department of Health and Human Services","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"eft.ahrq.gov","ahrq.gov","https://eft.ahrq.gov","Department of Health and Human Services","rdns-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"efti.ahrq.gov","ahrq.gov","http://efti.ahrq.gov","Department of Health and Human Services","rdns-snapshot","No","No","No","Yes","No","No","No","No","No"
"elb.ahrq.gov","ahrq.gov","http://elb.ahrq.gov","Department of Health and Human Services","eot2016","No","No","No","","","","","","No"
"epc-src.ahrq.gov","ahrq.gov","https://epc-src.ahrq.gov","Department of Health and Human Services","rdns-snapshot","No","Yes","Yes","No","Yes","No","No","No","Ready"
"epc-srctest.ahrq.gov","ahrq.gov","https://epc-srctest.ahrq.gov","Department of Health and Human Services","rdns-snapshot","No","Yes","Yes","No","Yes","No","No","No","Ready"
"epss.ahrq.gov","ahrq.gov","https://epss.ahrq.gov","Department of Health and Human Services","rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"epssdata.ahrq.gov","ahrq.gov","https://epssdata.ahrq.gov","Department of Health and Human Services","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"epsstest.ahrq.gov","ahrq.gov","https://epsstest.ahrq.gov","Department of Health and Human Services","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"faqhit.ahrq.gov","ahrq.gov","https://faqhit.ahrq.gov","Department of Health and Human Services","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"faqtac.ahrq.gov","ahrq.gov","https://faqtac.ahrq.gov","Department of Health and Human Services","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"gold.ahrq.gov","ahrq.gov","https://gold.ahrq.gov","Department of Health and Human Services","rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"hcup-us.ahrq.gov","ahrq.gov","https://hcup-us.ahrq.gov","Department of Health and Human Services","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"hcup.ahrq.gov","ahrq.gov","http://hcup.ahrq.gov","Department of Health and Human Services","eot2016","No","No","No","","","","","","No"
"hcupnet.ahrq.gov","ahrq.gov","https://hcupnet.ahrq.gov","Department of Health and Human Services","dap, eot2016","No","Yes","No","No","Yes","No","No","No","No"
"healthcare411.ahrq.gov","ahrq.gov","http://healthcare411.ahrq.gov","Department of Health and Human Services","eot2016","No","No","No","Yes","No","No","No","No","No"
"healthit.ahrq.gov","ahrq.gov","https://healthit.ahrq.gov","Department of Health and Human Services","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"helpdesk.ahrq.gov","ahrq.gov","http://helpdesk.ahrq.gov","Department of Health and Human Services","censys-snapshot","No","No","No","Yes","No","No","No","No","No"
"info.ahrq.gov","ahrq.gov","https://info.ahrq.gov","Department of Health and Human Services","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"innovations.ahrq.gov","ahrq.gov","https://innovations.ahrq.gov","Department of Health and Human Services","eot2016","No","Yes","No","Yes","No","No","No","No","No"
"integrationacademy.ahrq.gov","ahrq.gov","http://integrationacademy.ahrq.gov","Department of Health and Human Services","dap, eot2016","No","No","No","Yes","No","No","No","No","No"
"journal.ahrq.gov","ahrq.gov","https://journal.ahrq.gov","Department of Health and Human Services","censys-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"list.ahrq.gov","ahrq.gov","http://list.ahrq.gov","Department of Health and Human Services","eot2016","No","No","No","","","","","","No"
"meps.ahrq.gov","ahrq.gov","https://meps.ahrq.gov","Department of Health and Human Services","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"monahrq.ahrq.gov","ahrq.gov","http://monahrq.ahrq.gov","Department of Health and Human Services","eot2016","No","No","No","","","","","","No"
"mtgs.ahrq.gov","ahrq.gov","https://mtgs.ahrq.gov","Department of Health and Human Services","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"nhdrnet.ahrq.gov","ahrq.gov","http://nhdrnet.ahrq.gov","Department of Health and Human Services","eot2016","No","No","No","","","","","","No"
"nhqrnet.ahrq.gov","ahrq.gov","https://nhqrnet.ahrq.gov","Department of Health and Human Services","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nrcportal.ahrq.gov","ahrq.gov","http://nrcportal.ahrq.gov","Department of Health and Human Services","eot2016","No","No","No","","","","","","No"
"origin.archive.ahrq.gov","ahrq.gov","http://origin.archive.ahrq.gov","Department of Health and Human Services","eot2016","No","No","No","","","","","","No"
"patientregistry.ahrq.gov","ahrq.gov","https://patientregistry.ahrq.gov","Department of Health and Human Services","eot2016","No","Yes","Yes","No","Yes","No","No","No","No"
"pbrn.ahrq.gov","ahrq.gov","https://pbrn.ahrq.gov","Department of Health and Human Services","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"pcmh.ahrq.gov","ahrq.gov","https://pcmh.ahrq.gov","Department of Health and Human Services","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"pcornominationtest.ahrq.gov","ahrq.gov","https://pcornominationtest.ahrq.gov","Department of Health and Human Services","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"pharmacyhealthliteracy.ahrq.gov","ahrq.gov","http://pharmacyhealthliteracy.ahrq.gov","Department of Health and Human Services","eot2016","No","No","No","","","","","","No"
"preventiveservices.ahrq.gov","ahrq.gov","http://preventiveservices.ahrq.gov","Department of Health and Human Services","eot2016","No","No","No","","","","","","No"
"primarycaremeasures.ahrq.gov","ahrq.gov","https://primarycaremeasures.ahrq.gov","Department of Health and Human Services","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"psnet-at.ahrq.gov","ahrq.gov","https://psnet-at.ahrq.gov","Department of Health and Human Services","censys-snapshot","No","Yes","Yes","No","Yes","Yes","No","No","No"
"psnet.ahrq.gov","ahrq.gov","https://psnet.ahrq.gov","Department of Health and Human Services","eot2016","No","Yes","Yes","No","Yes","Yes","No","No","No"
"pso.ahrq.gov","ahrq.gov","https://pso.ahrq.gov","Department of Health and Human Services","dap, eot2016","No","Yes","No","Yes","No","No","No","No","No"
"qsrs.ahrq.gov","ahrq.gov","https://qsrs.ahrq.gov","Department of Health and Human Services","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"qsrstest.ahrq.gov","ahrq.gov","https://qsrstest.ahrq.gov","Department of Health and Human Services","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"qualityindicators.ahrq.gov","ahrq.gov","http://qualityindicators.ahrq.gov","Department of Health and Human Services","dap, eot2016","No","No","No","Yes","No","No","No","No","No"
"qualitymeasures.ahrq.gov","ahrq.gov","https://qualitymeasures.ahrq.gov","Department of Health and Human Services","dap, eot2016","No","Yes","Yes","No","Yes","Yes","No","No","No"
"sdc3.ahrq.gov","ahrq.gov","http://sdc3.ahrq.gov","Department of Health and Human Services","rdns-snapshot, eot2016","No","No","No","No","Yes","No","No","No","No"
"search.ahrq.gov","ahrq.gov","https://search.ahrq.gov","Department of Health and Human Services","eot2016","No","Yes","No","Yes","No","No","No","No","No"
"sopsdatabase.ahrq.gov","ahrq.gov","https://sopsdatabase.ahrq.gov","Department of Health and Human Services","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"srdr.ahrq.gov","ahrq.gov","https://srdr.ahrq.gov","Department of Health and Human Services","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"srdr.training.ahrq.gov","ahrq.gov","https://srdr.training.ahrq.gov","Department of Health and Human Services","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"statesnapshots.ahrq.gov","ahrq.gov","https://statesnapshots.ahrq.gov","Department of Health and Human Services","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"subscriptions.ahrq.gov","ahrq.gov","https://subscriptions.ahrq.gov","Department of Health and Human Services","eot2016","No","No","No","","","","","","No"
"surgicalsurvey.ahrq.gov","ahrq.gov","https://surgicalsurvey.ahrq.gov","Department of Health and Human Services","censys-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"talkingquality.ahrq.gov","ahrq.gov","http://talkingquality.ahrq.gov","Department of Health and Human Services","eot2016","No","No","No","","","","","","No"
"teamstepps.ahrq.gov","ahrq.gov","http://teamstepps.ahrq.gov","Department of Health and Human Services","eot2016","No","No","No","","","","","","No"
"ushik.ahrq.gov","ahrq.gov","https://ushik.ahrq.gov","Department of Health and Human Services","dap, eot2016","No","No","No","","","","","","Ready"
"view.ahrq.gov","ahrq.gov","https://view.ahrq.gov","Department of Health and Human Services","rdns-snapshot","No","Yes","No","No","Yes","No","No","No","No"
"voltage-pp-0000.ahrq.gov","ahrq.gov","https://voltage-pp-0000.ahrq.gov","Department of Health and Human Services","censys-snapshot","No","Yes","Yes","No","Yes","No","No","No","No"
"vpn.ahrq.gov","ahrq.gov","https://vpn.ahrq.gov","Department of Health and Human Services","censys-snapshot","No","Yes","No","No","Yes","Yes","No","No","No"
"aids.gov","aids.gov","http://aids.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"autodiscover.aids.gov","aids.gov","https://autodiscover.aids.gov","Department of Health and Human Services","censys-snapshot, other","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"blog.aids.gov","aids.gov","http://blog.aids.gov","Department of Health and Human Services","eot2016, other","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"locator.aids.gov","aids.gov","https://locator.aids.gov","Department of Health and Human Services","dap, eot2016, other","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"search.aids.gov","aids.gov","http://search.aids.gov","Department of Health and Human Services","eot2016, other","No","No","Preloaded","","","","","","No"
"airnow.gov","airnow.gov","https://airnow.gov","Environmental Protection Agency","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"alaskacenters.gov","alaskacenters.gov","https://www.alaskacenters.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"alertaenlinea.gov","alertaenlinea.gov","https://alertaenlinea.gov","Federal Trade Commission","dotgov","No","Yes","No","Yes","No","No","No","No","Yes"
"alzheimers.gov","alzheimers.gov","https://www.alzheimers.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ama.gov","ama.gov","https://www.ama.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"amberalert.gov","amberalert.gov","https://amberalert.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"america.gov","america.gov","https://america.gov","Department of State","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
